"payload","length","attack_type","label"
"pianka@noviasteresapalacios.mc","30","norm","norm"
"c/ doctor ferran, 193","21","norm","norm"
"38787","5","norm","norm"
"fitzgera","8","norm","norm"
"13g0e7at42a","11","norm","norm"
"kinnie","6","norm","norm"
"ret4ne3or","9","norm","norm"
"vettenranta@infopromo.az","24","norm","norm"
"el caaveral 130, 5-f","20","norm","norm"
"9139561296743472","16","norm","norm"
"valina","6","norm","norm"
"yoselie","7","norm","norm"
"pool echenique","14","norm","norm"
"calle holanda 146,","18","norm","norm"
"tres villas, las","16","norm","norm"
"5426744631176158","16","norm","norm"
"patrica0","8","norm","norm"
"mankowsk","8","norm","norm"
"4a39c44a","8","norm","norm"
"bow@whitepearlresort.pl","23","norm","norm"
"01472954b","9","norm","norm"
"adradas","7","norm","norm"
"18417","5","norm","norm"
"smelters","8","norm","norm"
"tamboreo","8","norm","norm"
"lamas","5","norm","norm"
"sipperly.nakamoto@ceramicasmio.ht","33","norm","norm"
"carretera 200 hasta km. 1 barra de mio 175","42","norm","norm"
"manzanilla","10","norm","norm"
"1181707541494323","16","norm","norm"
"jalaie","6","norm","norm"
"1613","4","norm","norm"
"joelly","6","norm","norm"
"flaviano","8","norm","norm"
"oshea_knowles@tiaherminia.gh","28","norm","norm"
"calle del llenguadoc s/n, 6e","28","norm","norm"
"pujalt","6","norm","norm"
"0269447503610316","16","norm","norm"
"kristel","7","norm","norm"
"reiji","5","norm","norm"
"estolano boget","14","norm","norm"
"62145911a","9","norm","norm"
"travesia barrionuevo, 49","24","norm","norm"
"7738690201675696","16","norm","norm"
"daisey","6","norm","norm"
"2925","4","norm","norm"
"doris","5","norm","norm"
"bergad faix","11","norm","norm"
"sibirskaia@euskalcasino.es","26","norm","norm"
"c/ lope de rueda s/n, 9-f","25","norm","norm"
"alcntar","7","norm","norm"
"lozier","6","norm","norm"
"alguese","7","norm","norm"
"30482828p","9","norm","norm"
"c/ ulises 17,","13","norm","norm"
"rube","4","norm","norm"
"enlutada","8","norm","norm"
"blount","6","norm","norm"
"sugesto","7","norm","norm"
"suau","4","norm","norm"
"germain@elcorteitaliano.cat","27","norm","norm"
"c/ de la sabina, s/n 8?b","24","norm","norm"
"betelu","6","norm","norm"
"mcglynn","7","norm","norm"
"midkiff_mikuni@directoriogratuito.kh","36","norm","norm"
"calle rascafria, 103,","21","norm","norm"
"gimialcn","8","norm","norm"
"3582197540300309","16","norm","norm"
"sprouse","7","norm","norm"
"1827","4","norm","norm"
"addons","6","norm","norm"
"karla","5","norm","norm"
"jauregui cortines","17","norm","norm"
"86800649y","9","norm","norm"
"paratge lila 30, 10?c","21","norm","norm"
"9091453994786923","16","norm","norm"
"dyck","4","norm","norm"
"pereda barrio","13","norm","norm"
"barrymore@hipermadrid.pe","24","norm","norm"
"doctor waksmann, 120, 7?b","25","norm","norm"
"caudete","7","norm","norm"
"3161746053397457","16","norm","norm"
"chao","4","norm","norm"
"4403","4","norm","norm"
"patacki","7","norm","norm"
"xifr","4","norm","norm"
"pleasande@doloresmusculares.aq","30","norm","norm"
"sanchez 49,","11","norm","norm"
"9008082484622624","16","norm","norm"
"o+bispar","8","norm","norm"
"adgardo","7","norm","norm"
"36914497a","9","norm","norm"
"nucleo santiago apostol 34, 4?f","31","norm","norm"
"20491","5","norm","norm"
"4811716935763521","16","norm","norm"
"inord2n6da7e401","15","norm","norm"
"5445","4","norm","norm"
"a65esad0","8","norm","norm"
"efrn","4","norm","norm"
"calle castaos 90","16","norm","norm"
"torre-cardela","13","norm","norm"
"4867284155125635","16","norm","norm"
"oran","4","norm","norm"
"tesisteco avi","13","norm","norm"
"pepet@naturalchild.co","21","norm","norm"
"01308","5","norm","norm"
"6702564951251728","16","norm","norm"
"remante","7","norm","norm"
"919","3","norm","norm"
"afoscarse","9","norm","norm"
"net.valdez@salaparis.gt","23","norm","norm"
"c/ja del indiano, s/n,","22","norm","norm"
"illano","6","norm","norm"
"2872946473881757","16","norm","norm"
"spears","6","norm","norm"
"triana","6","norm","norm"
"del ngel kercad","15","norm","norm"
"10421521z","9","norm","norm"
"etorbidea askatasuna 170, 8?a","29","norm","norm"
"2754013363983769","16","norm","norm"
"huong","5","norm","norm"
"1729","4","norm","norm"
"tse","3","norm","norm"
"victoria de los angeles","23","norm","norm"
"ventura motn","12","norm","norm"
"roure, 43, 3?d","14","norm","norm"
"32648","5","norm","norm"
"meggy","5","norm","norm"
"3o22ciabl3","10","norm","norm"
"ayat rozas","10","norm","norm"
"verani@viajesdacapalla.gq","25","norm","norm"
"quinita flores 75,","18","norm","norm"
"botarell","8","norm","norm"
"3893864101962581","16","norm","norm"
"etchieso","8","norm","norm"
"9159","4","norm","norm"
"marieann","8","norm","norm"
"penarroya ingla","15","norm","norm"
"gayle@freetag.name","18","norm","norm"
"el halcon 154, 8?f","18","norm","norm"
"03314","5","norm","norm"
"evin","4","norm","norm"
"sa6r2","5","norm","norm"
"gorcy.davis@carmensanmartin.bo","30","norm","norm"
"16601924h","9","norm","norm"
"destriana","9","norm","norm"
"25307","5","norm","norm"
"9639","4","norm","norm"
"longo","5","norm","norm"
"armero filippi","14","norm","norm"
"uzaki@23horas.ie","16","norm","norm"
"24391","5","norm","norm"
"lei-see","7","norm","norm"
"rahue","5","norm","norm"
"serna kovac","11","norm","norm"
"51795949h","9","norm","norm"
"calle del derecho 17,","21","norm","norm"
"50693","5","norm","norm"
"9473535060757439","16","norm","norm"
"7a2a6t1ro","9","norm","norm"
"1858","4","norm","norm"
"pavorde","7","norm","norm"
"elois","5","norm","norm"
"terrio@likeanangel.dz","21","norm","norm"
"46773841y","9","norm","norm"
"arndiga","7","norm","norm"
"8554607392278464","16","norm","norm"
"muntaner nevado","15","norm","norm"
"vasilescu.lisi@drogasvirtuales.sc","33","norm","norm"
"luis braille, 33, 12?d","22","norm","norm"
"matar","5","norm","norm"
"4608056297024601","16","norm","norm"
"werling","7","norm","norm"
"7012","4","norm","norm"
"barnhill","8","norm","norm"
"quintilio","9","norm","norm"
"naharro","7","norm","norm"
"38980059g","9","norm","norm"
"calle isis, 180","15","norm","norm"
"6172398321911966","16","norm","norm"
"janeva","6","norm","norm"
"lzaro","5","norm","norm"
"hinwood-laretei@addl.es","23","norm","norm"
"canfranc","8","norm","norm"
"26323","5","norm","norm"
"radioelctrica","13","norm","norm"
"3679","4","norm","norm"
"apotrerar","9","norm","norm"
"mochn quer","10","norm","norm"
"30503437d","9","norm","norm"
"carrer asturies, 49","19","norm","norm"
"8582534834926521","16","norm","norm"
"aghili","6","norm","norm"
"colunga corrius","15","norm","norm"
"bukoontot@google-movil.cm","25","norm","norm"
"c/ asuncion 115 5e","18","norm","norm"
"almonacid de la sierra","22","norm","norm"
"rorke","5","norm","norm"
"3u23pe","6","norm","norm"
"philippa","8","norm","norm"
"carroar","7","norm","norm"
"schwab.carli@emepleo.info","25","norm","norm"
"calle batalla de muhlberg, 25, 6?a","34","norm","norm"
"27860","5","norm","norm"
"brenda","6","norm","norm"
"alpar-ornstein@rockefeller.nu","29","norm","norm"
"15423399j","9","norm","norm"
"46844","5","norm","norm"
"gourley","7","norm","norm"
"consalve","8","norm","norm"
"c406l2n5","8","norm","norm"
"kunneke@storagecraft.nz","23","norm","norm"
"89740217j","9","norm","norm"
"igzquiza","8","norm","norm"
"17867","5","norm","norm"
"zandra","6","norm","norm"
"agenor","6","norm","norm"
"chamberlain@muevemiweb.al","25","norm","norm"
"calle jaime ferranz 51","22","norm","norm"
"12163","5","norm","norm"
"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--","115","sqli","anom"
"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666","111","sqli","anom"
"1) where 7956=7956 or sleep(5)#","31","sqli","anom"
"-7387'))) order by 1--","22","sqli","anom"
"1))) union all select null,null,null#","37","sqli","anom"
"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--","66","sqli","anom"
"-9860%"" union all select 6996,6996,6996,6996,6996,6996#","55","sqli","anom"
"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240","101","sqli","anom"
"1%""))) waitfor delay '0:0:5'--","30","sqli","anom"
"1"") as nraw where 7984=7984 and elt(3114=3114,sleep(5))#","56","sqli","anom"
"1%"");select benchmark(5000000,md5(0x714e4153))#","47","sqli","anom"
"1'))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--","103","sqli","anom"
"-4259')) as usqu where 5419=5419 or elt(8325=8837,8837)--","57","sqli","anom"
"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('ijyi'='ijyi","124","sqli","anom"
"-2583"") where 3455=3455 or make_set(9354=9354,7185)--","53","sqli","anom"
"-6267""))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""rqws""=""rqws","209","sqli","anom"
"1%'))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--","69","sqli","anom"
"8496429893525706","16","norm","norm"
"t324a3ra5a","10","norm","norm"
"4932","4","norm","norm"
"di0cut6dor7","11","norm","norm"
"jener monaj","11","norm","norm"
"los polancos 133","16","norm","norm"
"pintanos, los","13","norm","norm"
"berrisfo","8","norm","norm"
"zaguero","7","norm","norm"
"39202408n","9","norm","norm"
"c/ montaer ruiz, 24, 12a","24","norm","norm"
"3609841962548925","16","norm","norm"
"isador","6","norm","norm"
"4906","4","norm","norm"
"marcanti","8","norm","norm"
"jezabel","7","norm","norm"
"pawluszek segu","14","norm","norm"
"05782219l","9","norm","norm"
"c/ ricardo codoer, 112,","23","norm","norm"
"brunhild","8","norm","norm"
"te3496","6","norm","norm"
"allaert@chicasdiabolo.ru","24","norm","norm"
"63974696n","9","norm","norm"
"fla","3","norm","norm"
"50629","5","norm","norm"
"demostrar","9","norm","norm"
"6212","4","norm","norm"
"refriega","8","norm","norm"
"isidoro","7","norm","norm"
"06918701w","9","norm","norm"
"calle la caldera, 76 11-c","25","norm","norm"
"4898771590601702","16","norm","norm"
"lap","3","norm","norm"
"42287106l","9","norm","norm"
"calle beato tomas de zumarraga, 89 12-c","39","norm","norm"
"olsen","5","norm","norm"
"5urgui8a","8","norm","norm"
"spindler1","9","norm","norm"
"trincha-32r1","12","norm","norm"
"08363269d","9","norm","norm"
"alqueria de pixarroda, 27","25","norm","norm"
"0277189059505279","16","norm","norm"
"dotan","5","norm","norm"
"terribas","8","norm","norm"
"leftwich@sms24h.sb","18","norm","norm"
"12232","5","norm","norm"
"5580428033394873","16","norm","norm"
"comba","5","norm","norm"
"1140","4","norm","norm"
"e23i6gulo","9","norm","norm"
"nicolo","6","norm","norm"
"floor@aebo.af","13","norm","norm"
"88341714w","9","norm","norm"
"29639","5","norm","norm"
"0052422482512057","16","norm","norm"
"nanni-prucnal@fighting-machines.gf","34","norm","norm"
"08447437c","9","norm","norm"
"46510","5","norm","norm"
"0878247632477262","16","norm","norm"
"973","3","norm","norm"
"merl","4","norm","norm"
"quintn","6","norm","norm"
"bricat","6","norm","norm"
"03046730n","9","norm","norm"
"ronda sant antoni maria claret 144,","35","norm","norm"
"jawad","5","norm","norm"
"92frico","7","norm","norm"
"pipiolo sandrini","16","norm","norm"
"velero@softwaresaas.ec","22","norm","norm"
"c/ barriada nueva andalucia, 79, 5?f","36","norm","norm"
"lora","4","norm","norm"
"anja","4","norm","norm"
"3803","4","norm","norm"
"descarada","9","norm","norm"
"lian","4","norm","norm"
"85640413m","9","norm","norm"
"c/ san juan bautista 66, 1?f","28","norm","norm"
"24410","5","norm","norm"
"1710045357867718","16","norm","norm"
"de la barca pitti","17","norm","norm"
"dierking3@carmensanmartin.kn","28","norm","norm"
"diaz camacho 107, 2-a","21","norm","norm"
"9636562879352994","16","norm","norm"
"trashumacin","11","norm","norm"
"389","3","norm","norm"
"hatajo","6","norm","norm"
"yasna","5","norm","norm"
"hymen_israeli@aulahost.vc","25","norm","norm"
"cami llorito, 38","16","norm","norm"
"5968115219030593","16","norm","norm"
"bordin","6","norm","norm"
"jeria cifr","10","norm","norm"
"litchterman.steiner6@myalbum.by","31","norm","norm"
"calle costa de llevant, 52","26","norm","norm"
"murillo el cuende","17","norm","norm"
"ligurs","6","norm","norm"
"retos9a1o","9","norm","norm"
"braham","6","norm","norm"
"wieth@camiones-hibridos.md","26","norm","norm"
"cami can rabella, s/n","21","norm","norm"
"manzano, el","11","norm","norm"
"virchick1","9","norm","norm"
"superable","9","norm","norm"
"duran manero","12","norm","norm"
"paris-loisel@viavilano.cr","25","norm","norm"
"burgos, s/n, 1f","15","norm","norm"
"boimorto","8","norm","norm"
"1959107690181502","16","norm","norm"
"cycelia","7","norm","norm"
"1166","4","norm","norm"
"swope","5","norm","norm"
"gutman@latiendadecolchones.mn","29","norm","norm"
"86626999y","9","norm","norm"
"cubillas de santa marta","23","norm","norm"
"10182","5","norm","norm"
"raha","4","norm","norm"
"de5pi6ar4za4","12","norm","norm"
"sagu cnstenla","13","norm","norm"
"santaniello_tabernero@enfuerteventura.com.ni","44","norm","norm"
"plaza asociacion de la prensa 107","33","norm","norm"
"segura de los baos","18","norm","norm"
"reid5","5","norm","norm"
"chimenea","8","norm","norm"
"jailyn","6","norm","norm"
"irado","5","norm","norm"
"norring-fujikawa@autoconstruccion.au","36","norm","norm"
"plza. salamanca 39,","19","norm","norm"
"50780","5","norm","norm"
"2787973107257855","16","norm","norm"
"d060u2ar","8","norm","norm"
"hania","5","norm","norm"
"hesseman.dolen@gaudio.mu","24","norm","norm"
"calle vallseca 123","18","norm","norm"
"5176682769033876","16","norm","norm"
"guillory","8","norm","norm"
"5155","4","norm","norm"
"mcculloc","8","norm","norm"
"iris","4","norm","norm"
"duo_davalos@designworld.cz","26","norm","norm"
"isla de cuba 85 3-b","19","norm","norm"
"coripe","6","norm","norm"
"zauhar","6","norm","norm"
"semanera","8","norm","norm"
"langellotti","11","norm","norm"
"schaafsma@gay-tantra.sj","23","norm","norm"
"villanueva del rebollar","23","norm","norm"
"38450","5","norm","norm"
"grimsley","8","norm","norm"
"luego","5","norm","norm"
"trampeador","10","norm","norm"
"kovac","5","norm","norm"
"calle de can castellvi 35, 10-h","31","norm","norm"
"vindel","6","norm","norm"
"humfrid","7","norm","norm"
"expendedora","11","norm","norm"
"carvajal","8","norm","norm"
"lightner.manor@rosaserigrafia.as","32","norm","norm"
"castellnovo","11","norm","norm"
"19127","5","norm","norm"
"ania","4","norm","norm"
"esmilcea","8","norm","norm"
"huerfanidad","11","norm","norm"
"robertino","9","norm","norm"
"91220241x","9","norm","norm"
"jose gomez gallito, 107,","24","norm","norm"
"32252","5","norm","norm"
"0577312599845778","16","norm","norm"
"inoportunamente","15","norm","norm"
"cibeles","7","norm","norm"
"carminati@granbretana.com.uk","28","norm","norm"
"33273113w","9","norm","norm"
"munbrega","8","norm","norm"
"4611888318080805","16","norm","norm"
"adapuesto","9","norm","norm"
"3151","4","norm","norm"
"9o52cardea7","11","norm","norm"
"benito@mayoriasilenciosa.mu","27","norm","norm"
"calle juan de sevilla 102 3c","28","norm","norm"
"cabanabona","10","norm","norm"
"kouhi","5","norm","norm"
"4az","3","norm","norm"
"78267819s","9","norm","norm"
"calle rendona 45, 5-a","21","norm","norm"
"fady","4","norm","norm"
"a8o8decer","9","norm","norm"
"sonoe","5","norm","norm"
"idalio","6","norm","norm"
"portal tauler","13","norm","norm"
"edlund@cementoscalibra.yu","25","norm","norm"
"sant quirze de besora","21","norm","norm"
"27784","5","norm","norm"
"meier","5","norm","norm"
"c6nte9osa","9","norm","norm"
"buisn andres","12","norm","norm"
"oliveira_aptekman@engibraltar.va","32","norm","norm"
"san bartolom de la torre","24","norm","norm"
"12510","5","norm","norm"
"nadav6","6","norm","norm"
"pent0et3o","9","norm","norm"
"keer","4","norm","norm"
"gala","4","norm","norm"
"waggenheim@rubirubi.info","24","norm","norm"
"55265136t","9","norm","norm"
"45674","5","norm","norm"
"2996877022240469","16","norm","norm"
"torrent de can caralleu 48, 12-g","32","norm","norm"
"telde","5","norm","norm"
"7745667684469889","16","norm","norm"
"brain","5","norm","norm"
"7242","4","norm","norm"
"kalpak","6","norm","norm"
"sixto","5","norm","norm"
"peredo huecas","13","norm","norm"
"21468433a","9","norm","norm"
"toril, 171 5h","13","norm","norm"
"5036144025003599","16","norm","norm"
"edlene","6","norm","norm"
"albiol","6","norm","norm"
"blankenship@likeanangel.tc","26","norm","norm"
"calle jose espejo, 130, 12?a","28","norm","norm"
"42148","5","norm","norm"
"tom159","6","norm","norm"
"3046","4","norm","norm"
"ru5runears2","11","norm","norm"
"leobaldo","8","norm","norm"
"53087910t","9","norm","norm"
"zafiro, s/n 4?b","15","norm","norm"
"50174","5","norm","norm"
"wei-tsig8","9","norm","norm"
"sabu@aridossanchez.lt","21","norm","norm"
"avinguda pinyana, 7 2-h","23","norm","norm"
"06196","5","norm","norm"
"4780723426433072","16","norm","norm"
"abellot*ada","11","norm","norm"
"new","3","norm","norm"
"donaldo","7","norm","norm"
"castell sargatal","16","norm","norm"
"58222899d","9","norm","norm"
"camino hoya mondongo, 124","25","norm","norm"
"01267","5","norm","norm"
"3892784649587009","16","norm","norm"
"coxcojita","9","norm","norm"
"quiliano","8","norm","norm"
"pombal 114 3?d","14","norm","norm"
"puerto de bjar","14","norm","norm"
"ramesh","6","norm","norm"
"cane5o","6","norm","norm"
"haroun","6","norm","norm"
"lluv8os4","8","norm","norm"
"vano branchadell","16","norm","norm"
"02650843r","9","norm","norm"
"pia de campos","13","norm","norm"
"3556606130011191","16","norm","norm"
"en8relan3amien0o","16","norm","norm"
"osteicoechea uslet","18","norm","norm"
"60537126e","9","norm","norm"
"luis de gongora, 189","20","norm","norm"
"mariana","7","norm","norm"
"emblanquimiento","15","norm","norm"
"sari7","5","norm","norm"
"4m4or6711a662","13","norm","norm"
"sebastian_ferdi@tintaultravioleta.mv","36","norm","norm"
"95549133a","9","norm","norm"
"baos de molgas","14","norm","norm"
"28760","5","norm","norm"
"monte9a","7","norm","norm"
"sibila","6","norm","norm"
"neugebauer@buscamoto.gw","23","norm","norm"
"37246742j","9","norm","norm"
"ciadoncha","9","norm","norm"
"17744","5","norm","norm"
"tiefenth","8","norm","norm"
"i77ovar","7","norm","norm"
"rini","4","norm","norm"
"inobediecia","11","norm","norm"
"matienzo gallifa","16","norm","norm"
"69082096d","9","norm","norm"
"estepa","6","norm","norm"
"40151","5","norm","norm"
"6r5int3805","10","norm","norm"
"parmenia","8","norm","norm"
"tarp@redstarz.asia","18","norm","norm"
"don juan 126","12","norm","norm"
"17403","5","norm","norm"
"3786004753545909","16","norm","norm"
"1112","4","norm","norm"
"brion6","6","norm","norm"
"gavald","6","norm","norm"
"selk@inversioneolica.ee","23","norm","norm"
"c/ cal correu, 0,","17","norm","norm"
"cbdar","5","norm","norm"
"cal","3","norm","norm"
"acrianzada","10","norm","norm"
"victor juan","11","norm","norm"
"ballasko@quehaces.mr","20","norm","norm"
"calle sierra del quintanar, 199 9-b","35","norm","norm"
"gaianes","7","norm","norm"
"ex074ico","8","norm","norm"
"1230","4","norm","norm"
"c0l0o4a","7","norm","norm"
"bentez monill","13","norm","norm"
"50159319e","9","norm","norm"
"antonio toledano, 78, 10?h","26","norm","norm"
"49167","5","norm","norm"
"uriah","5","norm","norm"
"maestre camprubi","16","norm","norm"
"eckstine@blueeyes.eu","20","norm","norm"
"guadalajara, 101 4-e","20","norm","norm"
"venialbo","8","norm","norm"
"6913071576619939","16","norm","norm"
"beland","6","norm","norm"
"7192","4","norm","norm"
"ryszard","7","norm","norm"
"alarico","7","norm","norm"
"nrez muriscot","13","norm","norm"
"logroo, 98, 5-d","15","norm","norm"
"sant lloren savall","18","norm","norm"
"9589985001483437","16","norm","norm"
"harty","5","norm","norm"
"llobet","6","norm","norm"
"confirm(2)>/","12","xss","anom"
"brace4@velazquezlarraaga.kz","27","norm","norm"
"alcalde lopez rancao, 194, 3-e","30","norm","norm"
"vilafams","8","norm","norm"
"1499600534131254","16","norm","norm"
"mundy","5","norm","norm"
"5642","4","norm","norm"
"chan+quete","10","norm","norm"
"zuiga urbina","12","norm","norm"
"grandinetti@mariposasentudia.mm","31","norm","norm"
"cruz de caravaca, 177","21","norm","norm"
"daimiel","7","norm","norm"
"4159457629727955","16","norm","norm"
"valcourt","8","norm","norm"
"dels","4","norm","norm"
"brau ganfornina","15","norm","norm"
"64721683m","9","norm","norm"
"c/ francisco grande cobian 90 4-e","33","norm","norm"
"41570","5","norm","norm"
"5068023807822442","16","norm","norm"
"in85ecuacin","11","norm","norm"
"1304","4","norm","norm"
"irresolucin","11","norm","norm"
"nemesio","7","norm","norm"
"veronese@prestigecars.tv","24","norm","norm"
"99020664y","9","norm","norm"
"torrecilla del monte","20","norm","norm"
"29620","5","norm","norm"
"or5i6or6i686","12","norm","norm"
"llull valls","11","norm","norm"
"calle oxigeno 197","17","norm","norm"
"costur","6","norm","norm"
"7482251600785207","16","norm","norm"
"witney","6","norm","norm"
"546","3","norm","norm"
"kipnis","6","norm","norm"
"aitor","5","norm","norm"
"scanlon@theroxyblue.ng","22","norm","norm"
"alcalde gregorio espino 165","27","norm","norm"
"pozanco","7","norm","norm"
"3596949565075836","16","norm","norm"
"dud","3","norm","norm"
"henriquez femenias","18","norm","norm"
"seymour@evelin.gn","17","norm","norm"
"c/ fray diego de cadiz, 50","26","norm","norm"
"mombuey","7","norm","norm"
"kiyohara","8","norm","norm"
"47761an0i59r","12","norm","norm"
"downs","5","norm","norm"
"tapinga","7","norm","norm"
"sunyer lleix","12","norm","norm"
"abadia@comercioenlacalle.er","27","norm","norm"
"c/ carranque, 113 5?a","21","norm","norm"
"45240","5","norm","norm"
"kobeski","7","norm","norm"
"prueba","6","norm","norm"
"goyenaga","8","norm","norm"
"lenya@fbi-criminal-network.com.mil","34","norm","norm"
"cantaracillo","12","norm","norm"
"40190","5","norm","norm"
"sosa","4","norm","norm"
"fraccionario","12","norm","norm"
"trung","5","norm","norm"
"fragmentar","10","norm","norm"
"ricci@redhost.is","16","norm","norm"
"89821319v","9","norm","norm"
"palacios del arzobispo","22","norm","norm"
"8322438262219801","16","norm","norm"
"reele.cto","9","norm","norm"
"roussel@santacruzdelvoto.ws","27","norm","norm"
"calle bernat de santa eugenia 90","32","norm","norm"
"sariego","7","norm","norm"
"onofredo","8","norm","norm"
"domeable","8","norm","norm"
"babar4","6","norm","norm"
"cornisamen!to","13","norm","norm"
"17652259n","9","norm","norm"
"calle segismundo moret 93 1?a","29","norm","norm"
"0614375180233873","16","norm","norm"
"racette","7","norm","norm"
"puy","3","norm","norm"
"borgeaud@enmenorca.com.om","25","norm","norm"
"jabeque, 86,","12","norm","norm"
"relleu","6","norm","norm"
"espavorida","10","norm","norm"
"9564","4","norm","norm"
"bez clua","8","norm","norm"
"gretler-rinell@magadan.com.yu","29","norm","norm"
"lugar grela 152 1?f","19","norm","norm"
"19185","5","norm","norm"
"soportador","10","norm","norm"
"trilles aedo","12","norm","norm"
"79365532f","9","norm","norm"
"calle siete cerros 144","22","norm","norm"
"pankiw","6","norm","norm"
"f8rol5ra","8","norm","norm"
"9a7bl1","6","norm","norm"
"paucides","8","norm","norm"
"selj@ebaz.travel","16","norm","norm"
"plza. maimonides 197","20","norm","norm"
"15873","5","norm","norm"
"1204533777404121","16","norm","norm"
"grandlocua","10","norm","norm"
"talavera panfili","16","norm","norm"
"79140741h","9","norm","norm"
"tierra 17","9","norm","norm"
"34305","5","norm","norm"
"9307824408281680","16","norm","norm"
"5469","4","norm","norm"
"clarabel","8","norm","norm"
"redmond-delcampe@biosaludsystems.do","35","norm","norm"
"calle corinto 108","17","norm","norm"
"ordinar","7","norm","norm"
"edel","4","norm","norm"
"costello_browallius@autoconstruccion.bt","39","norm","norm"
"07375030b","9","norm","norm"
"puebla de obando","16","norm","norm"
"parman","6","norm","norm"
"108","3","norm","norm"
"ja3aln","6","norm","norm"
"crisp vivo","10","norm","norm"
"chopel@restauranteslaespadaa.bg","31","norm","norm"
"ysero","5","norm","norm"
"10380","5","norm","norm"
"lukers","6","norm","norm"
"ofere*nte","9","norm","norm"
"faix","4","norm","norm"
"bartowna@professionalhost.do","28","norm","norm"
"calle gola de perellonet, 196,","30","norm","norm"
"albuixech","9","norm","norm"
"ch9let_a","8","norm","norm"
"1084","4","norm","norm"
"e3c7i3tu3a","10","norm","norm"
"alceo","5","norm","norm"
"amsterdam@mailboxrussia.nz","26","norm","norm"
"33371147x","9","norm","norm"
"50004","5","norm","norm"
"6187378791844475","16","norm","norm"
"comiso","6","norm","norm"
"barker ropero","13","norm","norm"
"02877417w","9","norm","norm"
"calle villalon 13 1g","20","norm","norm"
"0911357592887177","16","norm","norm"
"oucharek","8","norm","norm"
"6721","4","norm","norm"
"marcum3","7","norm","norm"
"leda","4","norm","norm"
"pifarre marola","14","norm","norm"
"57401003h","9","norm","norm"
"juan xxii 24, 3?c","17","norm","norm"
"46838","5","norm","norm"
"7496121103658289","16","norm","norm"
"9mbaicin","8","norm","norm"
"jovn","4","norm","norm"
"seddon@7peines.es","17","norm","norm"
"68035116n","9","norm","norm"
"tors","4","norm","norm"
